Square Footage of Unique Dorms,Unique Dorms,Selection Time (Individual) 2023,Selection Time (Group) 2023,2023 Selection Time,Selection Time (Individual) 2024,Selection Time (Group) 2024,2024 Selection Time,Selection Time (Individual) 2025,Selection Time (Group) 2025,2025 Selection Time,Occupancy,AC
205,Clark I - CL-I 214 - 214B,4/12/2023 19:09,4/11/2023 17:27,4/11/2023 17:27,4/11/2024 19:48,4/9/2024 19:00,4/9/2024 19:00,4/10/2025 17:48,4/9/2025 17:00,4/9/2025 17:00,2,FALSE
165,Clark I - CL-I 214 - 214C,4/12/2023 17:36,No Selection Time Issued,4/12/2023 17:36,4/9/2024 17:15,No Selection Time Issued,4/9/2024 17:15,4/9/2025 17:00,4/9/2025 17:00,4/9/2025 17:00,1,FALSE
152,Clark I - CL-I 216 - 216A,4/11/2023 19:54,4/11/2023 18:33,4/11/2023 18:33,4/10/2024 17:24,4/11/2024 19:03,4/10/2024 17:24,4/9/2025 17:06,4/9/2025 17:06,4/9/2025 17:06,1,FALSE
154,Clark I - CL-I 216 - 216B,4/11/2023 21:42,4/11/2023 18:33,4/11/2023 18:33,4/10/2024 20:00,4/11/2024 17:51,4/10/2024 20:00,4/9/2025 18:00,4/9/2025 17:06,4/9/2025 17:06,1,FALSE
138,Clark I - CL-I 217 - 217A,4/11/2023 20:00,4/13/2023 19:39,4/11/2023 20:00,4/10/2024 20:12,4/11/2024 17:00,4/10/2024 20:12,4/8/2025 18:00,4/8/2025 18:00,4/8/2025 18:00,1,FALSE
143,Clark I - CL-I 217 - 217B,4/11/2023 21:18,4/11/2023 19:54,4/11/2023 19:54,4/10/2024 17:15,No Selection Time Issued,4/10/2024 17:15,4/8/2025 21:12,4/8/2025 18:00,4/8/2025 18:00,1,FALSE
201,Clark I - CL-I 218 - 218A,4/11/2023 18:21,4/12/2023 18:54,4/11/2023 18:21,4/9/2024 18:54,4/11/2024 17:21,4/9/2024 18:54,4/8/2025 17:54,4/8/2025 17:54,4/8/2025 17:54,1,FALSE
166,Clark I - CL-I 218 - 218B,4/11/2023 21:36,4/11/2023 17:06,4/11/2023 17:06,4/9/2024 20:18,4/10/2024 17:42,4/9/2024 20:18,4/8/2025 18:36,4/8/2025 17:54,4/8/2025 17:54,1,FALSE
132,Clark I - CL-I 219 - 219A,4/11/2023 21:45,4/11/2023 17:21,4/11/2023 17:21,4/10/2024 20:06,4/9/2024 17:06,4/9/2024 17:06,4/9/2025 17:27,4/9/2025 17:27,4/9/2025 17:27,1,FALSE
131,Clark I - CL-I 219 - 219B,4/11/2023 20:24,4/12/2023 17:39,4/11/2023 20:24,4/10/2024 17:24,4/11/2024 17:00,4/10/2024 17:24,4/9/2025 18:21,4/9/2025 17:27,4/9/2025 17:27,1,FALSE
156,Clark I - CL-I 220 - 220A,4/11/2023 19:12,No Selection Time Issued,4/11/2023 19:12,4/10/2024 17:24,4/10/2024 18:42,4/10/2024 17:24,4/9/2025 19:06,4/8/2025 17:57,4/8/2025 17:57,1,FALSE
154,Clark I - CL-I 220 - 220B,4/11/2023 20:27,4/11/2023 17:27,4/11/2023 17:27,4/10/2024 19:30,,4/10/2024 19:30,4/8/2025 17:57,4/8/2025 17:57,4/8/2025 17:57,1,FALSE
181,Clark III - 100,4/11/2023 17:48,4/13/2023 20:18,4/11/2023 17:48,,4/9/2024 17:21,4/9/2024 17:21,4/8/2025 17:12,No Selection Time Issued,4/8/2025 17:12,1,FALSE
322,Clark III - 101,4/12/2023 18:00,4/11/2023 17:03,4/11/2023 17:03,4/10/2024 20:36,,4/10/2024 20:36,4/9/2025 18:18,4/9/2025 18:18,4/9/2025 18:18,2,FALSE
102,Clark III - 102,4/11/2023 21:09,4/11/2023 17:54,4/11/2023 17:54,,4/10/2024 19:48,4/10/2024 19:48,4/8/2025 20:57,No Selection Time Issued,4/8/2025 20:57,1,FALSE
332,Clark III - 103,4/11/2023 19:09,4/11/2023 17:03,4/11/2023 17:03,4/10/2024 17:57,,4/10/2024 17:57,4/8/2025 20:48,4/8/2025 20:48,4/8/2025 20:48,2,FALSE
146,Clark III - 104,4/11/2023 20:57,No Selection Time Issued,4/11/2023 20:57,,,,,,,1,FALSE
136,Clark III - 105,4/11/2023 20:57,4/11/2023 17:00,4/11/2023 17:00,,,,4/8/2025 17:18,No Selection Time Issued,4/8/2025 17:18,1,FALSE
