Square Footage of Unique Dorms,Unique Dorms,Selection Time (Individual) 2023,Selection Time (Group) 2023,2023 Selection Time,Selection Time (Individual) 2024,Selection Time (Group) 2024,2024 Selection Time,Selection Time (Individual) 2025,Selection Time (Group) 2025,2025 Selection Time,Occupancy,AC
142,Clark V - CL-V 401-404 - 404,4/11/2023 19:33,No Selection Time Issued,4/11/2023 19:33,4/9/2024 21:48,4/10/2024 17:51,4/9/2024 21:48,4/8/2025 17:27,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
147,Clark V - CL-V 405-408 - 405,4/12/2023 19:33,4/11/2023 17:09,4/11/2023 17:09,4/9/2024 20:45,4/9/2024 17:24,4/9/2024 17:24,4/8/2025 17:36,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
147,Clark V - CL-V 405-408 - 406,4/11/2023 18:39,4/13/2023 19:45,4/11/2023 18:39,4/9/2024 17:54,4/10/2024 17:24,4/9/2024 17:54,4/8/2025 20:00,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
146,Clark V - CL-V 405-408 - 407,4/11/2023 17:48,4/11/2023 21:30,4/11/2023 17:48,4/9/2024 20:57,4/9/2024 17:33,4/9/2024 17:33,4/10/2025 20:03,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
147,Clark V - CL-V 405-408 - 408,4/11/2023 20:48,4/11/2023 17:18,4/11/2023 17:18,4/9/2024 20:21,4/11/2024 17:06,4/9/2024 20:21,4/8/2025 21:30,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
147,Clark V - CL-V 409-412 - 409,4/12/2023 19:48,4/12/2023 20:06,4/12/2023 19:48,4/9/2024 19:51,4/9/2024 17:00,4/9/2024 17:00,4/8/2025 19:30,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
147,Clark V - CL-V 409-412 - 410,4/11/2023 17:30,No Selection Time Issued,4/11/2023 17:30,4/9/2024 19:00,4/9/2024 17:12,4/9/2024 17:12,4/9/2025 17:09,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
146,Clark V - CL-V 409-412 - 411,4/12/2023 19:06,4/13/2023 17:42,4/12/2023 19:06,4/10/2024 19:36,4/10/2024 18:30,4/10/2024 18:30,4/8/2025 17:33,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
146,Clark V - CL-V 409-412 - 412,4/11/2023 17:51,4/11/2023 17:42,4/11/2023 17:42,4/9/2024 17:36,4/9/2024 21:15,4/9/2024 17:36,4/8/2025 21:03,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
150,Clark V - CL-V 413-416 - 413,,,,4/9/2024 20:00,4/9/2024 20:24,4/9/2024 20:00,4/8/2025 20:51,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
147,Clark V - CL-V 413-416 - 414,,,,4/9/2024 20:57,4/9/2024 21:09,4/9/2024 20:57,4/8/2025 17:48,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
147,Clark V - CL-V 413-416 - 415,,,,4/9/2024 17:51,4/9/2024 17:03,4/9/2024 17:03,4/8/2025 21:24,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
147,Clark V - CL-V 413-416 - 416,,,,4/9/2024 21:24,4/9/2024 17:54,4/9/2024 17:54,4/8/2025 19:33,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
147,Clark V - CL-V 417-420 - 417,4/11/2023 20:06,4/11/2023 17:24,4/11/2023 17:24,4/9/2024 17:54,4/9/2024 17:18,4/9/2024 17:18,4/9/2025 20:12,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
147,Clark V - CL-V 417-420 - 418,4/11/2023 18:57,4/12/2023 17:03,4/11/2023 18:57,4/9/2024 19:51,4/11/2024 17:24,4/9/2024 19:51,4/9/2025 17:21,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
146,Clark V - CL-V 417-420 - 419,4/11/2023 21:03,4/13/2023 17:00,4/11/2023 21:03,4/9/2024 20:51,4/10/2024 17:48,4/9/2024 20:51,4/8/2025 17:30,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
147,Clark V - CL-V 417-420 - 420,4/11/2023 17:54,No Selection Time Issued,4/11/2023 17:54,4/9/2024 20:48,4/9/2024 17:33,4/9/2024 17:33,4/9/2025 18:18,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
142,Clark V - CL-V 421-424 - 421,4/12/2023 20:33,4/11/2023 17:42,4/11/2023 17:42,4/9/2024 18:21,4/10/2024 17:18,4/9/2024 18:21,4/8/2025 19:06,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
149,Clark V - CL-V 421-424 - 422,4/11/2023 18:39,No Selection Time Issued,4/11/2023 18:39,4/9/2024 17:39,4/9/2024 17:30,4/9/2024 17:30,4/8/2025 17:27,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
144,Clark V - CL-V 421-424 - 423,4/11/2023 19:57,4/12/2023 17:09,4/11/2023 19:57,4/9/2024 20:09,4/11/2024 17:03,4/9/2024 20:09,4/9/2025 18:39,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
149,Clark V - CL-V 421-424 - 424,4/11/2023 17:36,4/13/2023 17:00,4/11/2023 17:36,4/9/2024 17:51,4/9/2024 17:36,4/9/2024 17:36,4/8/2025 19:33,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
141,Clark V - CL-V 425-427 - 425,4/11/2023 17:54,4/13/2023 17:54,4/11/2023 17:54,4/9/2024 19:51,4/9/2024 17:06,4/9/2024 17:06,4/8/2025 20:30,4/8/2025 17:51,4/8/2025 17:51,1,FALSE
147,Clark V - CL-V 425-427 - 426,4/11/2023 19:09,No Selection Time Issued,4/11/2023 19:09,4/9/2024 18:21,4/9/2024 17:54,4/9/2024 17:54,4/8/2025 17:51,4/8/2025 17:51,4/8/2025 17:51,1,FALSE
179,Clark V - CL-V 425-427 - 427,4/11/2023 19:06,No Selection Time Issued,4/11/2023 19:06,4/9/2024 17:57,4/10/2024 18:24,4/9/2024 17:57,4/8/2025 17:57,4/8/2025 17:51,4/8/2025 17:51,1,FALSE
186,Clark V - CL-V 428-430 - 428,4/11/2023 17:51,No Selection Time Issued,4/11/2023 17:51,4/9/2024 20:12,4/10/2024 19:45,4/9/2024 20:12,4/8/2025 18:27,4/8/2025 17:57,4/8/2025 17:57,1,FALSE
136,Clark V - CL-V 428-430 - 429,4/11/2023 19:42,4/11/2023 19:12,4/11/2023 19:12,4/9/2024 17:51,4/9/2024 19:54,4/9/2024 17:51,4/8/2025 17:57,4/8/2025 17:57,4/8/2025 17:57,1,FALSE
150,Clark V - CL-V 428-430 - 430,4/11/2023 21:09,4/11/2023 18:57,4/11/2023 18:57,4/9/2024 19:54,4/10/2024 17:54,4/9/2024 19:54,4/8/2025 20:15,4/8/2025 17:57,4/8/2025 17:57,1,FALSE
225,Clark V - CL-V 431-432 - 431,4/12/2023 18:42,4/11/2023 19:30,4/11/2023 19:30,4/10/2024 17:12,4/9/2024 17:54,4/9/2024 17:54,4/9/2025 17:18,4/9/2025 17:18,4/9/2025 17:18,2,FALSE
144,Clark V - CL-V 431-432 - 432,4/12/2023 17:12,No Selection Time Issued,4/12/2023 17:12,4/10/2024 20:48,4/9/2024 19:42,4/9/2024 19:42,4/10/2025 18:45,4/9/2025 17:18,4/9/2025 17:18,1,FALSE
148,Clark V - CL-V 433-434 - 433,4/11/2023 19:30,No Selection Time Issued,4/11/2023 19:30,4/9/2024 21:15,4/9/2024 17:27,4/9/2024 17:27,4/8/2025 21:18,4/8/2025 17:00,4/8/2025 17:00,1,FALSE
205,Clark V - CL-V 433-434 - 434,4/11/2023 18:15,No Selection Time Issued,4/11/2023 18:15,4/9/2024 18:18,4/11/2024 17:45,4/9/2024 18:18,4/8/2025 17:00,4/8/2025 17:00,4/8/2025 17:00,1,FALSE
189,Clark V - CL-V 435-436 - 435,4/11/2023 18:18,4/11/2023 17:21,4/11/2023 17:21,4/9/2024 20:21,4/9/2024 20:24,4/9/2024 20:21,4/8/2025 17:42,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
147,Clark V - CL-V 435-436 - 436,4/11/2023 20:18,4/11/2023 17:27,4/11/2023 17:27,4/9/2024 18:18,No Selection Time Issued,4/9/2024 18:18,4/9/2025 18:51,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
183,Clark V - CL-V 437-438 - 437,4/11/2023 18:00,No Selection Time Issued,4/11/2023 18:00,4/9/2024 19:06,4/9/2024 17:21,4/9/2024 17:21,4/8/2025 17:42,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
152,Clark V - CL-V 437-438 - 438,4/12/2023 20:39,4/11/2023 19:36,4/11/2023 19:36,4/9/2024 18:18,4/9/2024 17:30,4/9/2024 17:30,4/8/2025 19:36,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
150,Clark V - CL-V 439-440 - 439,4/12/2023 20:45,4/11/2023 17:48,4/11/2023 17:48,4/10/2024 19:39,4/11/2024 17:21,4/10/2024 19:39,4/8/2025 17:48,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
182,Clark V - CL-V 439-440 - 440,4/11/2023 17:54,No Selection Time Issued,4/11/2023 17:54,4/9/2024 17:30,,4/9/2024 17:30,4/8/2025 19:06,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
185,Clark V - CL-V 441-442 - 441,4/11/2023 17:39,No Selection Time Issued,4/11/2023 17:39,,,,,,,1,FALSE
147,Clark V - CL-V 441-442 - 442,4/12/2023 20:15,No Selection Time Issued,4/12/2023 20:15,,4/9/2024 17:30,4/9/2024 17:30,,,,1,FALSE
181,Clark V - CL-V 443-444 - 443,4/11/2023 18:00,4/12/2023 17:42,4/11/2023 18:00,4/9/2024 20:03,4/9/2024 17:27,4/9/2024 17:27,4/8/2025 17:51,4/8/2025 17:51,4/8/2025 17:51,1,FALSE
145,Clark V - CL-V 443-444 - 444,4/11/2023 21:30,4/12/2023 17:48,4/11/2023 21:30,4/9/2024 17:42,4/11/2024 17:00,4/9/2024 17:42,4/8/2025 20:12,4/8/2025 17:51,4/8/2025 17:51,1,FALSE
144,Clark V - CL-V 445-446 - 445,,,,4/9/2024 20:57,4/11/2024 17:27,4/9/2024 20:57,4/8/2025 18:45,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
200,Clark V - CL-V 445-446 - 446,,,,4/9/2024 18:27,4/9/2024 17:33,4/9/2024 17:33,4/8/2025 17:48,4/8/2025 17:48,4/8/2025 17:48,1,FALSE
149,Clark V - CL-V 451-454 - 451,4/12/2023 18:51,No Selection Time Issued,4/12/2023 18:51,4/9/2024 20:18,4/9/2024 18:33,4/9/2024 18:33,4/8/2025 20:18,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
146,Clark V - CL-V 451-454 - 452,4/12/2023 17:03,4/11/2023 17:18,4/11/2023 17:18,4/9/2024 19:30,4/9/2024 19:09,4/9/2024 19:09,4/9/2025 19:00,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
149,Clark V - CL-V 451-454 - 453,4/11/2023 17:30,4/11/2023 19:33,4/11/2023 17:30,4/9/2024 17:36,4/11/2024 17:00,4/9/2024 17:36,4/8/2025 19:54,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
146,Clark V - CL-V 451-454 - 454,4/11/2023 17:57,No Selection Time Issued,4/11/2023 17:57,4/9/2024 21:27,4/9/2024 17:03,4/9/2024 17:03,4/8/2025 17:30,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
149,Clark V - CL-V 455-458 - 455,4/11/2023 18:15,4/12/2023 19:33,4/11/2023 18:15,4/9/2024 17:57,4/9/2024 17:39,4/9/2024 17:39,4/8/2025 17:33,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
149,Clark V - CL-V 455-458 - 456,4/11/2023 17:48,4/11/2023 17:18,4/11/2023 17:18,4/9/2024 21:06,4/11/2024 18:57,4/9/2024 21:06,4/8/2025 20:03,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
147,Clark V - CL-V 455-458 - 457,4/11/2023 18:48,4/11/2023 17:06,4/11/2023 17:06,4/9/2024 17:51,4/9/2024 17:36,4/9/2024 17:36,4/8/2025 18:15,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
149,Clark V - CL-V 455-458 - 458,4/11/2023 19:51,No Selection Time Issued,4/11/2023 19:51,4/9/2024 18:24,4/10/2024 17:54,4/9/2024 18:24,4/8/2025 18:45,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
149,Clark V - CL-V 459-462 - 459,4/11/2023 18:36,4/11/2023 21:24,4/11/2023 18:36,4/9/2024 18:30,4/9/2024 17:06,4/9/2024 17:06,4/8/2025 17:27,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
149,Clark V - CL-V 459-462 - 460,4/11/2023 20:30,4/12/2023 17:30,4/11/2023 20:30,4/9/2024 17:48,4/10/2024 17:33,4/9/2024 17:48,4/9/2025 18:33,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
148,Clark V - CL-V 459-462 - 461,4/11/2023 17:33,4/13/2023 17:00,4/11/2023 17:33,4/9/2024 17:45,4/9/2024 17:18,4/9/2024 17:18,4/9/2025 19:12,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
149,Clark V - CL-V 459-462 - 462,4/11/2023 19:48,No Selection Time Issued,4/11/2023 19:48,4/9/2024 18:42,4/11/2024 19:36,4/9/2024 18:42,4/8/2025 20:45,4/8/2025 17:27,4/8/2025 17:27,1,FALSE
149,Clark V - CL-V 463-466 - 463,4/11/2023 19:39,No Selection Time Issued,4/11/2023 19:39,4/9/2024 18:51,4/9/2024 17:30,4/9/2024 17:30,4/8/2025 20:09,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
149,Clark V - CL-V 463-466 - 464,4/11/2023 18:24,4/11/2023 17:06,4/11/2023 17:06,4/9/2024 18:57,4/9/2024 17:57,4/9/2024 17:57,4/8/2025 21:42,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
149,Clark V - CL-V 463-466 - 465,4/11/2023 19:51,No Selection Time Issued,4/11/2023 19:51,4/9/2024 17:54,4/10/2024 17:30,4/9/2024 17:54,4/8/2025 20:12,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
149,Clark V - CL-V 463-466 - 466,4/11/2023 17:42,4/12/2023 18:39,4/11/2023 17:42,4/9/2024 21:18,4/11/2024 17:21,4/9/2024 21:18,4/8/2025 17:36,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
149,Clark V - CL-V 467-470 - 467,4/11/2023 19:03,4/11/2023 18:18,4/11/2023 18:18,4/9/2024 18:30,4/9/2024 17:03,4/9/2024 17:03,4/8/2025 17:42,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
149,Clark V - CL-V 467-470 - 468,4/11/2023 21:39,4/11/2023 17:06,4/11/2023 17:06,4/11/2024 18:24,4/10/2024 17:12,4/10/2024 17:12,4/8/2025 19:09,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
149,Clark V - CL-V 467-470 - 469,4/11/2023 17:39,4/11/2023 17:54,4/11/2023 17:39,4/9/2024 17:48,4/9/2024 20:24,4/9/2024 17:48,4/8/2025 21:15,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
149,Clark V - CL-V 467-470 - 470,4/11/2023 21:42,No Selection Time Issued,4/11/2023 21:42,4/9/2024 19:06,4/10/2024 17:30,4/9/2024 19:06,4/9/2025 19:45,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
146,Clark V - CL-V 471-474 - 471,4/11/2023 21:18,4/11/2023 18:33,4/11/2023 18:33,4/10/2024 18:18,4/9/2024 17:33,4/9/2024 17:33,4/9/2025 19:30,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
149,Clark V - CL-V 471-474 - 472,4/11/2023 17:24,No Selection Time Issued,4/11/2023 17:24,4/9/2024 20:57,No Selection Time Issued,4/9/2024 20:57,4/8/2025 17:33,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
146,Clark V - CL-V 471-474 - 473,4/12/2023 17:12,4/12/2023 17:18,4/12/2023 17:12,4/9/2024 21:30,4/9/2024 20:00,4/9/2024 20:00,4/8/2025 19:06,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
149,Clark V - CL-V 471-474 - 474,4/12/2023 20:09,4/12/2023 17:42,4/12/2023 17:42,4/9/2024 17:42,4/11/2024 18:24,4/9/2024 17:42,4/10/2025 18:15,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
170,Clark V - CL-V S1 - S01A,4/11/2023 17:45,4/11/2023 18:24,4/11/2023 17:45,4/9/2024 21:48,4/9/2024 17:09,4/9/2024 17:09,,,,1,FALSE
144,Clark V - CL-V S1 - S01B,4/11/2023 17:42,4/11/2023 17:09,4/11/2023 17:09,4/9/2024 18:15,4/9/2024 17:30,4/9/2024 17:30,,,,1,FALSE
162,Clark V - CL-V S2 - S02A,4/11/2023 17:45,No Selection Time Issued,4/11/2023 17:45,4/9/2024 19:36,4/9/2024 17:09,4/9/2024 17:09,4/8/2025 17:42,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
143,Clark V - CL-V S2 - S02B,4/11/2023 20:45,4/12/2023 17:24,4/11/2023 20:45,4/9/2024 18:27,,4/9/2024 18:27,4/8/2025 18:39,4/8/2025 17:42,4/8/2025 17:42,1,FALSE
164,Clark V - CL-V S21 - S21A,4/11/2023 17:42,4/11/2023 18:36,4/11/2023 17:42,,,,4/8/2025 17:30,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
136,Clark V - CL-V S21 - S21B,4/12/2023 17:54,4/11/2023 17:06,4/11/2023 17:06,,4/9/2024 17:36,4/9/2024 17:36,4/8/2025 18:42,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
165,Clark V - CL-V S22 - S22A,4/11/2023 17:21,4/11/2023 18:39,4/11/2023 17:21,4/9/2024 17:57,4/11/2024 17:27,4/9/2024 17:57,4/8/2025 17:39,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
140,Clark V - CL-V S22 - S22B,4/11/2023 19:57,4/12/2023 17:03,4/11/2023 19:57,4/9/2024 19:54,,4/9/2024 19:54,4/8/2025 17:30,4/8/2025 17:30,4/8/2025 17:30,1,FALSE
164,Clark V - CL-V S23 - S23A,4/11/2023 17:42,4/13/2023 20:00,4/11/2023 17:42,,4/9/2024 17:18,4/9/2024 17:18,,,,1,FALSE
139,Clark V - CL-V S23 - S23B,4/11/2023 18:30,4/11/2023 21:24,4/11/2023 18:30,4/9/2024 19:15,4/10/2024 18:42,4/9/2024 19:15,,,,1,FALSE
165,Clark V - CL-V S24 - S24A,4/11/2023 19:39,4/11/2023 17:45,4/11/2023 17:45,4/9/2024 17:57,No Selection Time Issued,4/9/2024 17:57,4/8/2025 17:33,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
140,Clark V - CL-V S24 - S24B,4/11/2023 17:33,4/12/2023 17:45,4/11/2023 17:33,4/11/2024 18:51,4/9/2024 17:09,4/9/2024 17:09,4/8/2025 21:03,4/8/2025 17:33,4/8/2025 17:33,1,FALSE
164,Clark V - CL-V S25 - S25A,4/11/2023 17:39,4/11/2023 18:33,4/11/2023 17:39,4/9/2024 17:39,4/9/2024 17:51,4/9/2024 17:39,4/8/2025 17:24,4/8/2025 17:24,4/8/2025 17:24,1,FALSE
139,Clark V - CL-V S25 - S25B,4/11/2023 19:00,4/12/2023 20:24,4/11/2023 19:00,4/9/2024 21:06,4/10/2024 17:54,4/9/2024 21:06,4/8/2025 18:48,4/8/2025 17:24,4/8/2025 17:24,1,FALSE
165,Clark V - CL-V S26 - S26A,4/11/2023 17:21,No Selection Time Issued,4/11/2023 17:21,4/9/2024 19:54,4/10/2024 17:57,4/9/2024 19:54,,,,1,FALSE
140,Clark V - CL-V S26 - S26B,4/11/2023 17:57,No Selection Time Issued,4/11/2023 17:57,4/9/2024 17:24,4/9/2024 17:51,4/9/2024 17:24,,,,1,FALSE
163,Clark V - CL-V S3 - S03A,4/11/2023 17:33,4/12/2023 17:00,4/11/2023 17:33,4/9/2024 18:24,4/9/2024 17:15,4/9/2024 17:15,4/8/2025 17:36,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
142,Clark V - CL-V S3 - S03B,4/12/2023 19:06,4/11/2023 20:51,4/11/2023 20:51,4/9/2024 21:30,4/11/2024 18:00,4/9/2024 21:30,4/8/2025 20:54,4/8/2025 17:36,4/8/2025 17:36,1,FALSE
163,Clark V - CL-V S4 - S04A,4/11/2023 18:18,No Selection Time Issued,4/11/2023 18:18,4/9/2024 17:09,4/9/2024 18:36,4/9/2024 17:09,,,,1,FALSE
138,Clark V - CL-V S4 - S04B,4/11/2023 18:45,No Selection Time Issued,4/11/2023 18:45,4/9/2024 21:30,4/11/2024 17:06,4/9/2024 21:30,,,,1,FALSE
165,Clark V - CL-V S6 - S06A,4/11/2023 17:51,4/11/2023 17:54,4/11/2023 17:51,4/9/2024 18:33,4/9/2024 17:21,4/9/2024 17:21,,,,1,FALSE
136,Clark V - CL-V S6 - S06B,4/11/2023 20:03,4/11/2023 17:03,4/11/2023 17:03,4/9/2024 21:53,4/9/2024 19:42,4/9/2024 19:42,,,,1,FALSE
137,Dialynas - DLNS 100 - 101,4/11/2023 20:15,4/12/2023 20:27,4/11/2023 20:15,4/9/2024 18:42,4/9/2024 19:00,4/9/2024 18:42,4/8/2025 19:45,4/8/2025 17:27,4/8/2025 17:27,1,TRUE
152,Dialynas - DLNS 100 - 102,4/11/2023 17:24,No Selection Time Issued,4/11/2023 17:24,4/10/2024 19:51,4/11/2024 17:24,4/10/2024 19:51,4/8/2025 17:27,4/8/2025 17:27,4/8/2025 17:27,1,TRUE
134,Dialynas - DLNS 100 - 103,4/11/2023 19:39,4/11/2023 17:09,4/11/2023 17:09,4/10/2024 17:48,4/11/2024 18:42,4/10/2024 17:48,4/8/2025 20:06,4/8/2025 17:27,4/8/2025 17:27,1,TRUE
151,Dialynas - DLNS 100 - 104,4/11/2023 18:54,4/12/2023 18:18,4/11/2023 18:54,4/9/2024 17:33,4/9/2024 17:45,4/9/2024 17:33,4/8/2025 20:45,4/8/2025 17:27,4/8/2025 17:27,1,TRUE
134,Dialynas - DLNS 110 - 111,4/11/2023 18:21,4/13/2023 17:03,4/11/2023 18:21,4/9/2024 21:09,4/10/2024 19:57,4/9/2024 21:09,4/9/2025 20:06,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
134,Dialynas - DLNS 110 - 112,4/11/2023 20:54,No Selection Time Issued,4/11/2023 20:54,4/9/2024 17:45,4/10/2024 17:48,4/9/2024 17:45,4/9/2025 17:24,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
152,Dialynas - DLNS 110 - 113,4/11/2023 17:15,4/11/2023 17:15,4/11/2023 17:15,4/9/2024 17:33,4/9/2024 18:33,4/9/2024 17:33,4/8/2025 17:51,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
147,Dialynas - DLNS 110 - 116,4/11/2023 19:00,4/11/2023 17:39,4/11/2023 17:39,4/9/2024 18:57,4/11/2024 17:27,4/9/2024 18:57,4/8/2025 17:18,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
151,Dialynas - DLNS 120 - 121,,,,4/9/2024 17:21,4/9/2024 17:21,4/9/2024 17:21,4/8/2025 17:24,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
134,Dialynas - DLNS 120 - 122,,,,4/9/2024 18:21,4/9/2024 18:27,4/9/2024 18:21,4/9/2025 18:51,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
135,Dialynas - DLNS 120 - 123,,,,4/9/2024 21:42,4/9/2024 17:39,4/9/2024 17:39,4/8/2025 20:15,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
151,Dialynas - DLNS 120 - 124,,,,4/9/2024 19:48,4/9/2024 17:54,4/9/2024 17:54,4/8/2025 19:15,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
138,Dialynas - DLNS 130 - 131,4/11/2023 17:18,4/11/2023 17:03,4/11/2023 17:03,4/9/2024 21:03,4/9/2024 17:09,4/9/2024 17:09,4/8/2025 18:42,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
151,Dialynas - DLNS 130 - 132,4/11/2023 18:54,4/12/2023 17:03,4/11/2023 18:54,4/9/2024 21:06,4/11/2024 19:33,4/9/2024 21:06,4/8/2025 17:24,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
135,Dialynas - DLNS 130 - 133,4/11/2023 21:21,4/11/2023 17:15,4/11/2023 17:15,4/9/2024 17:27,4/10/2024 19:06,4/9/2024 17:27,4/8/2025 18:57,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
135,Dialynas - DLNS 130 - 134,4/12/2023 19:51,4/11/2023 17:30,4/11/2023 17:30,4/9/2024 21:53,4/11/2024 17:24,4/9/2024 21:53,4/8/2025 21:39,4/8/2025 17:24,4/8/2025 17:24,1,TRUE
133,Dialynas - DLNS 200 - 201,4/11/2023 17:18,4/13/2023 17:42,4/11/2023 17:18,4/9/2024 21:33,No Selection Time Issued,4/9/2024 21:33,4/8/2025 17:21,4/8/2025 17:21,4/8/2025 17:21,1,TRUE
152,Dialynas - DLNS 200 - 202,4/12/2023 19:54,4/12/2023 19:57,4/12/2023 19:54,4/9/2024 17:21,4/11/2024 19:00,4/9/2024 17:21,4/8/2025 21:36,4/8/2025 17:21,4/8/2025 17:21,1,TRUE
134,Dialynas - DLNS 200 - 203,4/11/2023 21:24,No Selection Time Issued,4/11/2023 21:24,4/9/2024 17:27,4/9/2024 17:12,4/9/2024 17:12,4/8/2025 18:30,4/8/2025 17:21,4/8/2025 17:21,1,TRUE
147,Dialynas - DLNS 200 - 204,4/11/2023 20:45,4/11/2023 17:09,4/11/2023 17:09,4/9/2024 19:39,4/9/2024 17:51,4/9/2024 17:51,4/8/2025 20:00,4/8/2025 17:21,4/8/2025 17:21,1,TRUE
151,Dialynas - DLNS 220 - 221,4/12/2023 17:51,No Selection Time Issued,4/12/2023 17:51,4/9/2024 21:30,4/9/2024 18:15,4/9/2024 18:15,4/8/2025 20:06,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
133,Dialynas - DLNS 220 - 222,4/11/2023 21:00,4/11/2023 18:30,4/11/2023 18:30,4/9/2024 17:18,4/10/2024 17:12,4/9/2024 17:18,4/8/2025 17:18,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
135,Dialynas - DLNS 220 - 223,4/11/2023 19:15,4/12/2023 19:06,4/11/2023 19:15,4/9/2024 20:15,4/9/2024 17:33,4/9/2024 17:33,4/8/2025 20:24,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
151,Dialynas - DLNS 220 - 224,4/11/2023 17:18,4/11/2023 17:00,4/11/2023 17:00,4/9/2024 17:18,4/10/2024 17:33,4/9/2024 17:18,4/8/2025 20:24,4/8/2025 17:18,4/8/2025 17:18,1,TRUE
134,Dialynas - DLNS 230 - 231,4/11/2023 17:15,No Selection Time Issued,4/11/2023 17:15,4/9/2024 19:03,4/10/2024 18:30,4/9/2024 19:03,4/8/2025 19:30,4/8/2025 17:21,4/8/2025 17:21,1,TRUE
136,Dialynas - DLNS 230 - 232,4/11/2023 19:03,No Selection Time Issued,4/11/2023 19:03,4/9/2024 17:45,4/9/2024 20:18,4/9/2024 17:45,4/8/2025 18:42,4/8/2025 17:21,4/8/2025 17:21,1,TRUE
151,Dialynas - DLNS 230 - 233,4/11/2023 17:48,4/13/2023 17:06,4/11/2023 17:48,4/9/2024 21:18,4/9/2024 20:06,4/9/2024 20:06,4/8/2025 17:21,4/8/2025 17:21,4/8/2025 17:21,1,TRUE
